#Duplication rate	Coverage
1.0	821108.0
2.0	442650.0
3.0	235936.0
4.0	145006.0
5.0	91620.0
6.0	62128.0
7.0	42910.0
8.0	30362.0
9.0	22638.0
10.0	16907.0
11.0	13051.0
12.0	9767.0
13.0	7860.0
14.0	6079.0
15.0	4992.0
16.0	4006.0
17.0	3270.0
18.0	2643.0
19.0	2225.0
20.0	1896.0
21.0	1579.0
22.0	1394.0
23.0	1127.0
24.0	927.0
25.0	788.0
26.0	708.0
27.0	656.0
28.0	543.0
29.0	449.0
30.0	435.0
31.0	382.0
32.0	328.0
33.0	282.0
34.0	221.0
35.0	239.0
36.0	201.0
37.0	181.0
38.0	155.0
39.0	133.0
40.0	123.0
41.0	114.0
42.0	122.0
43.0	101.0
44.0	87.0
45.0	78.0
46.0	76.0
47.0	68.0
48.0	75.0
49.0	46.0
50.0	900.0
