#Coverage (X)	Coverage
1.0	99.9700025897981
2.0	99.94911502217379
3.0	99.94078602324572
4.0	99.93644800297068
5.0	99.93360659969052
6.0	99.93315110756164
7.0	99.93219674310114
8.0	99.931784631175
9.0	99.93052660529524
10.0	99.92909505860449
11.0	99.92755506140685
12.0	99.92568971268858
13.0	99.92339056194281
14.0	99.92215422616442
15.0	99.92126493200804
16.0	99.91994183582415
17.0	99.916753390922
18.0	99.9151700135216
19.0	99.91345649551297
20.0	99.90942213665718
21.0	99.9053010173959
22.0	99.90126665854011
23.0	99.89597427380455
24.0	99.89100724058964
25.0	99.88647400940222
26.0	99.88176725740381
27.0	99.87526022699124
28.0	99.86862305597045
29.0	99.86103152048912
30.0	99.85383040683256
31.0	99.84604366043887
32.0	99.8386690259713
33.0	99.82910369126483
34.0	99.81971187736937
35.0	99.80843302465428
36.0	99.79535389352503
37.0	99.78268687432191
38.0	99.76965112339542
39.0	99.75420777121629
40.0	99.73718104163676
41.0	99.71898304658296
42.0	99.6992667444329
43.0	99.67662227859721
44.0	99.65395612266012
45.0	99.63172376875055
46.0	99.60786465723784
47.0	99.5815762543711
48.0	99.55264165913658
49.0	99.52084397052054
50.0	99.48629163902986
51.0	99.4511970550048
