#Insert size (bp)	insert size
2.0	2.0
3.0	1.0
4.0	2.0
5.0	1.0
6.0	4.0
7.0	2.0
8.0	3.0
9.0	13.0
10.0	5.0
11.0	2.0
12.0	1.0
13.0	9.0
14.0	5.0
15.0	5.0
16.0	6.0
17.0	5.0
19.0	4.0
20.0	6.0
21.0	3.0
22.0	1.0
23.0	4.0
24.0	7.0
25.0	2.0
26.0	7.0
27.0	6.0
28.0	3.0
29.0	5.0
30.0	3.0
31.0	8.0
32.0	10.0
33.0	6.0
34.0	2.0
35.0	3.0
36.0	6.0
37.0	4.0
38.0	2.0
39.0	9.0
40.0	5.0
41.0	7.0
42.0	5.0
43.0	3.0
44.0	8.0
45.0	5.0
46.0	10.0
47.0	4.0
48.0	7.0
49.0	5.0
50.0	9.0
51.0	6.0
52.0	6.0
53.0	10.0
54.0	7.0
55.0	12.0
56.0	16.0
57.0	6.0
58.0	11.0
59.0	5.0
60.0	8.0
61.0	9.0
62.0	12.0
63.0	11.0
64.0	11.0
65.0	8.0
66.0	20.0
67.0	11.0
68.0	21.0
69.0	13.0
70.0	19.0
71.0	19.0
72.0	21.0
73.0	29.0
74.0	8.0
75.0	20.0
76.0	25.0
77.0	12.0
78.0	13.0
79.0	19.0
80.0	27.0
81.0	19.0
82.0	16.0
83.0	20.0
84.0	29.0
85.0	19.0
86.0	17.0
87.0	45.0
88.0	26.0
89.0	37.0
90.0	48.0
91.0	34.0
92.0	46.0
93.0	49.0
94.0	72.0
95.0	56.0
96.0	51.0
97.0	99.0
98.0	104.0
99.0	91.0
100.0	16521.0
101.0	16496.0
102.0	15988.0
103.0	15750.0
104.0	15535.0
105.0	15553.0
106.0	15860.0
107.0	16120.0
108.0	16321.0
109.0	16214.0
110.0	15946.0
111.0	15896.0
112.0	15526.0
113.0	15540.0
114.0	15540.0
115.0	15122.0
116.0	15301.0
117.0	15279.0
118.0	15327.0
119.0	15665.0
120.0	15590.0
121.0	15694.0
122.0	15169.0
123.0	15044.0
124.0	14883.0
125.0	14869.0
126.0	14630.0
127.0	14605.0
128.0	14837.0
129.0	14850.0
130.0	14916.0
131.0	14989.0
132.0	14972.0
133.0	14810.0
134.0	14225.0
135.0	14071.0
136.0	14312.0
137.0	14064.0
138.0	13817.0
139.0	14266.0
140.0	14280.0
141.0	14026.0
142.0	13774.0
143.0	13839.0
144.0	13825.0
145.0	13540.0
146.0	13378.0
147.0	13586.0
148.0	13395.0
149.0	13189.0
150.0	13193.0
151.0	13207.0
152.0	13271.0
153.0	13352.0
154.0	13167.0
155.0	13002.0
156.0	12802.0
157.0	12591.0
158.0	12373.0
159.0	12498.0
160.0	12624.0
161.0	12476.0
162.0	12469.0
163.0	12350.0
164.0	12279.0
165.0	12228.0
166.0	11796.0
167.0	11963.0
168.0	11993.0
169.0	11753.0
170.0	11569.0
171.0	11861.0
172.0	11733.0
173.0	11704.0
174.0	11697.0
175.0	11577.0
176.0	11257.0
177.0	11333.0
178.0	11301.0
179.0	11178.0
180.0	11048.0
181.0	10888.0
182.0	10809.0
183.0	10939.0
184.0	10670.0
185.0	10755.0
186.0	10687.0
187.0	10582.0
188.0	10466.0
189.0	10428.0
190.0	10447.0
191.0	10338.0
192.0	10443.0
193.0	10361.0
194.0	10362.0
195.0	10152.0
196.0	10132.0
197.0	10128.0
198.0	10009.0
199.0	9749.0
200.0	9613.0
201.0	9645.0
202.0	9628.0
203.0	9524.0
204.0	9678.0
205.0	9388.0
206.0	9475.0
207.0	9276.0
208.0	9216.0
209.0	9272.0
210.0	9105.0
211.0	9048.0
212.0	8978.0
213.0	8931.0
214.0	9021.0
215.0	8822.0
216.0	8671.0
217.0	8607.0
218.0	8828.0
219.0	8630.0
220.0	8327.0
221.0	8465.0
222.0	8380.0
223.0	8264.0
224.0	8536.0
225.0	8318.0
226.0	8348.0
227.0	8324.0
228.0	8287.0
229.0	7956.0
230.0	7865.0
231.0	8048.0
232.0	7975.0
233.0	7939.0
234.0	7853.0
235.0	7776.0
236.0	7610.0
237.0	7728.0
238.0	7889.0
239.0	7847.0
240.0	7657.0
241.0	7566.0
242.0	7504.0
243.0	7560.0
244.0	7333.0
245.0	7469.0
246.0	7485.0
247.0	7330.0
248.0	7219.0
249.0	7328.0
250.0	7263.0
251.0	7144.0
252.0	7066.0
253.0	6971.0
254.0	6879.0
255.0	6965.0
256.0	6922.0
257.0	6997.0
258.0	6915.0
259.0	6920.0
260.0	6791.0
261.0	6741.0
262.0	6589.0
263.0	6564.0
264.0	6407.0
265.0	6688.0
266.0	6530.0
267.0	6482.0
268.0	6364.0
269.0	6384.0
270.0	6387.0
271.0	6124.0
272.0	6244.0
273.0	6215.0
274.0	6146.0
275.0	6124.0
276.0	6046.0
277.0	6173.0
278.0	6101.0
279.0	6133.0
280.0	6068.0
281.0	6031.0
282.0	5949.0
283.0	5948.0
284.0	5824.0
285.0	5713.0
286.0	5781.0
287.0	5714.0
288.0	5832.0
289.0	5599.0
290.0	5600.0
291.0	5591.0
292.0	5632.0
293.0	5577.0
294.0	5456.0
295.0	5414.0
296.0	5417.0
297.0	5571.0
298.0	5222.0
299.0	5378.0
