#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	1.2030596212287088E-6
16.0	1.2030596212287088E-6
17.0	1.2030596212287088E-6
18.0	3.6091788636861265E-6
19.0	2.045201356088805E-5
20.0	2.4061192424574175E-5
21.0	6.135604068266415E-5
22.0	1.1188454477426993E-4
23.0	1.780528239418489E-4
24.0	2.309874472759121E-4
25.0	4.4272594061216486E-4
26.0	4.6558407341551033E-4
27.0	7.531153228891717E-4
28.0	0.0010286159761505461
29.0	0.0014845755725962266
30.0	0.001994672851997199
31.0	0.002750194294128828
32.0	0.0034455627551990228
33.0	0.004067544579374264
34.0	0.004920513850825419
35.0	0.005761452526064287
36.0	0.006465242404483081
37.0	0.0076646928468481045
38.0	0.008674059869058991
39.0	0.01020314864764068
40.0	0.01253949043206683
41.0	0.014279114644363544
42.0	0.016674406350229903
43.0	0.019309106920720777
44.0	0.02278234004720806
45.0	0.027551268385758658
46.0	0.032432081269083535
47.0	0.03790119030718924
48.0	0.044838032083193986
49.0	0.052501521870420856
50.0	0.05955987266816969
51.0	0.07382094141821481
52.0	0.06521304982832339
53.0	0.0740675686405667
54.0	0.07231711689167891
55.0	0.06790670032025448
56.0	0.05978123563847578
57.0	0.050364887983118674
58.0	0.04013045978532605
59.0	0.030986003604366624
60.0	0.022085768526516638
61.0	0.015526687471577717
62.0	0.010526771685751203
63.0	0.006571111651151209
64.0	0.00393159884217542
65.0	0.002238893955106627
66.0	0.0014352501281258497
67.0	8.108621847081497E-4
68.0	4.752085503853399E-4
69.0	3.067802034133208E-4
70.0	1.61209989244647E-4
71.0	7.458969651617994E-5
72.0	6.255910030389286E-5
73.0	2.2858132803345466E-5
74.0	1.2030596212287087E-5
75.0	9.62447696982967E-6
76.0	4.812238484914835E-6
77.0	3.6091788636861265E-6
78.0	2.4061192424574175E-6
79.0	1.2030596212287088E-6
80.0	3.6091788636861265E-6
81.0	0.0
82.0	1.2030596212287088E-6
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	1.2030596212287088E-6
99.0	0.0
100.0	1.8045894318430632E-5
