#Mapping quality	mapping quality
0.0	22.0
1.0	92.0
3.0	1.0
4.0	109.0
5.0	22.0
6.0	49.0
7.0	102.0
8.0	50.0
9.0	123.0
10.0	68.0
11.0	30.0
12.0	32.0
13.0	54.0
14.0	129.0
15.0	52.0
16.0	102.0
17.0	95.0
18.0	183.0
19.0	275.0
20.0	45.0
21.0	176.0
22.0	71.0
23.0	151.0
24.0	209.0
25.0	84.0
26.0	94.0
27.0	220.0
28.0	184.0
29.0	124.0
30.0	161.0
31.0	309.0
32.0	290.0
33.0	342.0
34.0	375.0
35.0	387.0
36.0	354.0
37.0	384.0
38.0	516.0
39.0	397.0
40.0	476.0
41.0	447.0
42.0	422.0
43.0	547.0
44.0	601.0
45.0	458.0
46.0	501.0
47.0	771.0
48.0	623.0
49.0	876.0
50.0	950.0
51.0	1030.0
52.0	1093.0
53.0	1395.0
54.0	2107.0
55.0	3430.0
56.0	4860.0
57.0	6834.0
58.0	9378.0
59.0	20932.0
60.0	4544821.0
