#Coverage	Number of genomic locations
0.0	65139.0
1.0	33.0
2.0	54.0
3.0	45.0
4.0	28.0
5.0	23.0
6.0	63.0
7.0	34.0
8.0	136.0
9.0	45.0
10.0	48.0
11.0	52.0
12.0	78.0
13.0	41.0
14.0	51.0
15.0	34.0
16.0	102.0
17.0	33.0
18.0	74.0
19.0	139.0
20.0	150.0
21.0	190.0
22.0	253.0
23.0	233.0
24.0	190.0
25.0	180.0
26.0	240.0
27.0	217.0
28.0	284.0
29.0	301.0
30.0	321.0
31.0	333.0
32.0	395.0
33.0	384.0
34.0	467.0
35.0	544.0
36.0	553.0
37.0	730.0
38.0	663.0
39.0	777.0
40.0	786.0
41.0	889.0
42.0	911.0
43.0	996.0
44.0	954.0
45.0	1090.0
46.0	1157.0
47.0	1328.0
48.0	1326.0
49.0	1519.0
50.0	1676.0
51.0	1611.0
52.0	1565.0
53.0	1767.0
54.0	1913.0
55.0	1971.0
56.0	2145.0
57.0	2236.0
58.0	2322.0
59.0	2375.0
60.0	2478.0
61.0	2411.0
62.0	2775.0
63.0	2822.0
64.0	3016.0
65.0	3163.0
66.0	3175.0
67.0	3234.0
68.0	3459.0
69.0	3584.0
70.0	3781.0
71.0	3821.0
72.0	4049.0
73.0	4042.0
74.0	4494.0
75.0	4521.0
76.0	4709.0
77.0	4663.0
78.0	4997.0
79.0	4985.0
80.0	5225.0
81.0	5443.0
82.0	5456.0
83.0	5673.0
84.0	5897.0
85.0	5851.0
86.0	6209.0
87.0	6254.0
88.0	6487.0
89.0	6461.0
90.0	6800.0
91.0	6839.0
92.0	7190.0
93.0	7391.0
94.0	7489.0
95.0	7832.0
96.0	8019.0
97.0	8234.0
98.0	8343.0
99.0	8617.0
100.0	9073.0
101.0	9254.0
102.0	9433.0
103.0	9556.0
104.0	9921.0
105.0	10425.0
106.0	10618.0
107.0	11028.0
108.0	11337.0
109.0	11518.0
110.0	12275.0
111.0	12929.0
112.0	13032.0
113.0	13679.0
114.0	13974.0
115.0	14785.0
116.0	14868.0
117.0	15105.0
118.0	15877.0
119.0	16224.0
120.0	16731.0
121.0	17701.0
122.0	18367.0
123.0	18775.0
124.0	18666.0
125.0	19481.0
126.0	20267.0
127.0	21106.0
128.0	21751.0
129.0	22497.0
130.0	23392.0
131.0	24306.0
132.0	24859.0
133.0	25782.0
134.0	26483.0
135.0	28060.0
136.0	28031.0
137.0	28858.0
138.0	29733.0
139.0	30276.0
140.0	31635.0
141.0	32246.0
142.0	33691.0
143.0	34533.0
144.0	35097.0
145.0	35418.0
146.0	36444.0
147.0	36696.0
148.0	38098.0
149.0	38736.0
150.0	39715.0
151.0	40408.0
152.0	40806.0
153.0	41581.0
154.0	42850.0
155.0	43494.0
156.0	43995.0
157.0	44598.0
158.0	45099.0
159.0	45773.0
160.0	46565.0
161.0	46365.0
162.0	47415.0
163.0	47546.0
164.0	47938.0
165.0	47817.0
166.0	48126.0
167.0	47929.0
168.0	47886.0
169.0	48437.0
170.0	48939.0
171.0	49249.0
172.0	49207.0
173.0	49398.0
174.0	48909.0
175.0	48845.0
176.0	48157.0
177.0	48247.0
178.0	47628.0
179.0	47915.0
180.0	47531.0
181.0	46770.0
182.0	46713.0
183.0	46151.0
184.0	45488.0
185.0	45078.0
186.0	45139.0
187.0	43334.0
188.0	43047.0
189.0	42903.0
190.0	42029.0
191.0	40772.0
192.0	40832.0
193.0	40264.0
194.0	39527.0
195.0	38803.0
196.0	38845.0
197.0	37433.0
198.0	37011.0
199.0	36125.0
200.0	35575.0
201.0	34944.0
202.0	33626.0
203.0	32982.0
204.0	32606.0
205.0	32077.0
206.0	30800.0
207.0	30157.0
208.0	29352.0
209.0	28948.0
210.0	28424.0
211.0	27524.0
212.0	26540.0
213.0	25661.0
214.0	24973.0
215.0	24446.0
216.0	23496.0
217.0	22711.0
218.0	22004.0
219.0	21284.0
220.0	20749.0
221.0	19697.0
222.0	18807.0
223.0	18133.0
224.0	17623.0
225.0	16920.0
226.0	16105.0
227.0	15574.0
228.0	14872.0
229.0	14124.0
230.0	13696.0
231.0	13114.0
232.0	12635.0
233.0	11976.0
234.0	11630.0
235.0	10980.0
236.0	10383.0
237.0	10216.0
238.0	9760.0
239.0	9207.0
240.0	8903.0
241.0	8487.0
242.0	7962.0
243.0	7779.0
244.0	7413.0
245.0	7097.0
246.0	6710.0
247.0	6155.0
248.0	5769.0
249.0	5525.0
250.0	5336.0
251.0	4946.0
252.0	4672.0
253.0	4439.0
254.0	4297.0
255.0	4098.0
256.0	3747.0
257.0	3465.0
258.0	3269.0
259.0	3286.0
260.0	3153.0
261.0	2899.0
262.0	2794.0
263.0	2683.0
264.0	2463.0
265.0	2368.0
266.0	2265.0
267.0	2028.0
268.0	2033.0
269.0	1962.0
270.0	1789.0
271.0	1810.0
272.0	1730.0
273.0	1645.0
274.0	1564.0
275.0	1456.0
276.0	1325.0
277.0	1381.0
278.0	1292.0
279.0	1185.0
280.0	1103.0
281.0	951.0
282.0	988.0
283.0	864.0
284.0	878.0
285.0	749.0
286.0	793.0
287.0	740.0
288.0	694.0
289.0	719.0
290.0	677.0
291.0	603.0
292.0	560.0
293.0	529.0
294.0	526.0
295.0	475.0
296.0	430.0
297.0	455.0
298.0	382.0
299.0	363.0
300.0	404.0
301.0	346.0
302.0	356.0
303.0	325.0
304.0	350.0
305.0	309.0
306.0	272.0
307.0	265.0
308.0	253.0
309.0	203.0
310.0	208.0
311.0	231.0
312.0	231.0
313.0	180.0
314.0	177.0
315.0	158.0
316.0	142.0
317.0	131.0
318.0	160.0
319.0	137.0
320.0	122.0
321.0	96.0
322.0	117.0
323.0	128.0
324.0	89.0
325.0	95.0
326.0	111.0
327.0	81.0
328.0	94.0
329.0	83.0
330.0	82.0
331.0	90.0
332.0	87.0
333.0	67.0
334.0	66.0
335.0	81.0
336.0	53.0
337.0	81.0
338.0	73.0
339.0	68.0
340.0	71.0
341.0	57.0
342.0	63.0
343.0	58.0
344.0	53.0
345.0	76.0
346.0	42.0
347.0	49.0
348.0	36.0
349.0	47.0
350.0	42.0
351.0	46.0
352.0	31.0
353.0	38.0
354.0	37.0
355.0	37.0
356.0	32.0
357.0	30.0
358.0	42.0
359.0	29.0
360.0	20.0
361.0	26.0
362.0	46.0
363.0	41.0
364.0	28.0
365.0	34.0
366.0	34.0
367.0	30.0
368.0	28.0
369.0	38.0
370.0	45.0
371.0	45.0
372.0	40.0
373.0	35.0
374.0	26.0
375.0	20.0
376.0	28.0
377.0	20.0
378.0	19.0
379.0	18.0
380.0	25.0
381.0	28.0
382.0	25.0
383.0	34.0
384.0	35.0
385.0	19.0
386.0	11.0
387.0	26.0
388.0	21.0
389.0	25.0
390.0	17.0
391.0	28.0
392.0	18.0
393.0	25.0
394.0	28.0
395.0	11.0
396.0	12.0
397.0	20.0
398.0	18.0
399.0	9.0
400.0	11.0
401.0	11.0
402.0	12.0
403.0	10.0
404.0	20.0
405.0	16.0
406.0	11.0
407.0	9.0
408.0	16.0
409.0	34.0
410.0	11.0
411.0	17.0
412.0	15.0
413.0	6.0
414.0	3.0
415.0	16.0
416.0	13.0
417.0	10.0
418.0	6.0
419.0	12.0
420.0	8.0
421.0	9.0
422.0	10.0
423.0	8.0
424.0	13.0
425.0	9.0
426.0	3.0
427.0	8.0
428.0	6.0
429.0	5.0
430.0	6.0
431.0	11.0
432.0	7.0
433.0	5.0
434.0	7.0
435.0	8.0
436.0	6.0
437.0	6.0
438.0	3.0
439.0	14.0
440.0	2.0
442.0	5.0
443.0	2.0
444.0	6.0
445.0	1.0
446.0	1.0
447.0	7.0
448.0	3.0
449.0	6.0
451.0	2.0
452.0	4.0
453.0	3.0
454.0	5.0
455.0	4.0
456.0	2.0
458.0	1.0
459.0	2.0
460.0	2.0
461.0	1.0
462.0	3.0
463.0	3.0
464.0	6.0
465.0	3.0
466.0	4.0
467.0	10.0
468.0	7.0
469.0	7.0
470.0	9.0
471.0	13.0
472.0	5.0
473.0	3.0
474.0	5.0
475.0	6.0
476.0	5.0
479.0	6.0
480.0	3.0
481.0	4.0
482.0	3.0
483.0	1.0
484.0	6.0
485.0	5.0
486.0	3.0
487.0	2.0
488.0	6.0
489.0	1.0
490.0	3.0
491.0	4.0
492.0	5.0
493.0	2.0
494.0	3.0
495.0	3.0
496.0	7.0
497.0	1.0
498.0	2.0
499.0	1.0
500.0	1.0
501.0	4.0
502.0	5.0
503.0	7.0
504.0	6.0
505.0	1.0
506.0	6.0
507.0	2.0
508.0	3.0
509.0	7.0
510.0	3.0
511.0	3.0
512.0	2.0
513.0	5.0
514.0	3.0
515.0	1.0
516.0	1.0
519.0	3.0
520.0	3.0
521.0	5.0
522.0	2.0
523.0	1.0
525.0	2.0
527.0	4.0
528.0	3.0
529.0	2.0
530.0	7.0
531.0	5.0
532.0	1.0
533.0	1.0
534.0	3.0
535.0	1.0
536.0	1.0
537.0	3.0
541.0	4.0
544.0	1.0
547.0	1.0
548.0	2.0
552.0	1.0
