#Duplication rate	Coverage
1.0	822818.0
2.0	443403.0
3.0	238081.0
4.0	143793.0
5.0	91811.0
6.0	60999.0
7.0	41797.0
8.0	29575.0
9.0	21297.0
10.0	15612.0
11.0	11763.0
12.0	9057.0
13.0	6683.0
14.0	5343.0
15.0	4112.0
16.0	3208.0
17.0	2504.0
18.0	2153.0
19.0	1726.0
20.0	1356.0
21.0	1111.0
22.0	878.0
23.0	732.0
24.0	663.0
25.0	482.0
26.0	447.0
27.0	337.0
28.0	295.0
29.0	254.0
30.0	200.0
31.0	179.0
32.0	119.0
33.0	112.0
34.0	80.0
35.0	81.0
36.0	69.0
37.0	54.0
38.0	58.0
39.0	39.0
40.0	37.0
41.0	27.0
42.0	30.0
43.0	27.0
44.0	25.0
45.0	27.0
46.0	20.0
47.0	20.0
48.0	13.0
49.0	8.0
50.0	112.0
