#Coverage (X)	Coverage
1.0	98.59664188525981
2.0	98.59593093148733
3.0	98.59476755258689
4.0	98.59379807016984
5.0	98.59319483666592
6.0	98.59269932343054
7.0	98.59134204804668
8.0	98.59060955022048
9.0	98.58767955891567
10.0	98.58671007649862
11.0	98.58567596192046
12.0	98.58455567112743
13.0	98.5828752349379
14.0	98.58199192873572
15.0	98.58089318199642
16.0	98.58016068417021
17.0	98.57796319069159
18.0	98.5772522369191
19.0	98.57565797694441
20.0	98.57266335347846
21.0	98.56943174542167
22.0	98.56533837521641
23.0	98.55988772962729
24.0	98.55486796511242
25.0	98.55077459490715
26.0	98.54689666523902
27.0	98.54172609234816
28.0	98.53705103269267
29.0	98.53093252143849
30.0	98.5244477612712
31.0	98.51753212002968
32.0	98.51035795014361
33.0	98.50184804892741
34.0	98.49357513230203
35.0	98.48351405921858
36.0	98.47179409399929
37.0	98.4598802322966
38.0	98.44415307308691
39.0	98.42986936547591
40.0	98.41312963574175
41.0	98.39619600952419
42.0	98.37704334577431
43.0	98.35741671284275
44.0	98.33595883534569
45.0	98.31540580810453
46.0	98.29192278955854
47.0	98.26699631941386
48.0	98.23838581608445
49.0	98.20981840086245
50.0	98.17709298327406
51.0	98.1409851492529
