#Mapping quality	mapping quality
0.0	32099.0
1.0	8718.0
2.0	6963.0
3.0	4504.0
4.0	3633.0
5.0	2816.0
6.0	2535.0
7.0	2149.0
8.0	1988.0
9.0	1593.0
10.0	1463.0
11.0	1037.0
12.0	972.0
13.0	1005.0
14.0	889.0
15.0	769.0
16.0	744.0
17.0	770.0
18.0	799.0
19.0	937.0
20.0	813.0
21.0	928.0
22.0	726.0
23.0	739.0
24.0	654.0
25.0	745.0
26.0	799.0
27.0	786.0
28.0	797.0
29.0	806.0
30.0	862.0
31.0	963.0
32.0	835.0
33.0	873.0
34.0	818.0
35.0	761.0
36.0	844.0
37.0	878.0
38.0	761.0
39.0	970.0
40.0	985.0
41.0	892.0
42.0	836.0
43.0	732.0
44.0	837.0
45.0	783.0
46.0	752.0
47.0	919.0
48.0	743.0
49.0	922.0
50.0	995.0
51.0	1052.0
52.0	1027.0
53.0	1376.0
54.0	1220.0
55.0	1480.0
56.0	1728.0
57.0	2509.0
58.0	2420.0
59.0	18182.0
60.0	4443382.0
