#Insert size (bp)	insert size
6.0	1.0
7.0	1.0
8.0	4.0
9.0	5.0
10.0	3.0
11.0	1.0
12.0	1.0
13.0	1.0
14.0	2.0
15.0	1.0
17.0	1.0
18.0	1.0
19.0	296.0
20.0	68.0
21.0	49.0
22.0	1.0
23.0	3.0
24.0	2.0
25.0	2.0
26.0	37.0
27.0	4.0
28.0	5.0
29.0	5.0
30.0	10.0
31.0	35.0
32.0	47.0
33.0	9.0
34.0	3.0
35.0	4.0
36.0	4.0
37.0	15.0
38.0	3.0
39.0	9.0
40.0	5.0
41.0	6.0
43.0	3.0
44.0	5.0
45.0	6.0
46.0	12.0
47.0	4.0
48.0	6.0
49.0	6.0
50.0	6.0
51.0	14.0
52.0	7.0
53.0	7.0
54.0	4.0
55.0	14.0
56.0	16.0
57.0	4.0
58.0	12.0
59.0	11.0
60.0	11.0
61.0	5.0
62.0	17.0
63.0	16.0
64.0	11.0
65.0	17.0
66.0	26.0
67.0	11.0
68.0	23.0
69.0	16.0
70.0	19.0
71.0	20.0
72.0	27.0
73.0	32.0
74.0	35.0
75.0	28.0
76.0	37.0
77.0	27.0
78.0	36.0
79.0	27.0
80.0	47.0
81.0	20.0
82.0	30.0
83.0	38.0
84.0	31.0
85.0	28.0
86.0	34.0
87.0	47.0
88.0	46.0
89.0	34.0
90.0	40.0
91.0	33.0
92.0	53.0
93.0	38.0
94.0	42.0
95.0	33.0
96.0	39.0
97.0	44.0
98.0	42.0
99.0	56.0
100.0	14926.0
101.0	14975.0
102.0	14523.0
103.0	14359.0
104.0	14125.0
105.0	14164.0
106.0	14369.0
107.0	14631.0
108.0	14777.0
109.0	14687.0
110.0	14486.0
111.0	14501.0
112.0	14171.0
113.0	14202.0
114.0	14080.0
115.0	13725.0
116.0	13924.0
117.0	13870.0
118.0	14013.0
119.0	14229.0
120.0	14105.0
121.0	14205.0
122.0	13827.0
123.0	13708.0
124.0	13591.0
125.0	13551.0
126.0	13323.0
127.0	13338.0
128.0	13487.0
129.0	13484.0
130.0	13573.0
131.0	13556.0
132.0	13599.0
133.0	13498.0
134.0	12963.0
135.0	12879.0
136.0	13073.0
137.0	12855.0
138.0	12645.0
139.0	13019.0
140.0	13031.0
141.0	12840.0
142.0	12574.0
143.0	12593.0
144.0	12609.0
145.0	12410.0
146.0	12254.0
147.0	12397.0
148.0	12219.0
149.0	12080.0
150.0	12036.0
151.0	12077.0
152.0	12103.0
153.0	12243.0
154.0	12082.0
155.0	11887.0
156.0	11750.0
157.0	11549.0
158.0	11420.0
159.0	11461.0
160.0	11549.0
161.0	11476.0
162.0	11435.0
163.0	11329.0
164.0	11299.0
165.0	11329.0
166.0	10898.0
167.0	11019.0
168.0	11048.0
169.0	10825.0
170.0	10710.0
171.0	10906.0
172.0	10792.0
173.0	10821.0
174.0	10788.0
175.0	10651.0
176.0	10323.0
177.0	10389.0
178.0	10423.0
179.0	10346.0
180.0	10233.0
181.0	10056.0
182.0	9990.0
183.0	10133.0
184.0	9900.0
185.0	10011.0
186.0	9829.0
187.0	9864.0
188.0	9653.0
189.0	9658.0
190.0	9738.0
191.0	9686.0
192.0	9694.0
193.0	9624.0
194.0	9571.0
195.0	9425.0
196.0	9370.0
197.0	9423.0
198.0	9298.0
199.0	9051.0
200.0	8967.0
201.0	8978.0
202.0	8941.0
203.0	8953.0
204.0	8993.0
205.0	8763.0
206.0	8827.0
207.0	8629.0
208.0	8630.0
209.0	8709.0
210.0	8530.0
211.0	8428.0
212.0	8381.0
213.0	8389.0
214.0	8419.0
215.0	8263.0
216.0	8119.0
217.0	8086.0
218.0	8268.0
219.0	8109.0
220.0	7866.0
221.0	7922.0
222.0	7858.0
223.0	7759.0
224.0	7949.0
225.0	7852.0
226.0	7826.0
227.0	7827.0
228.0	7749.0
229.0	7485.0
230.0	7330.0
231.0	7584.0
232.0	7542.0
233.0	7441.0
234.0	7364.0
235.0	7301.0
236.0	7195.0
237.0	7306.0
238.0	7478.0
239.0	7400.0
240.0	7207.0
241.0	7160.0
242.0	7057.0
243.0	7110.0
244.0	6956.0
245.0	7058.0
246.0	7080.0
247.0	6875.0
248.0	6820.0
249.0	6908.0
250.0	6898.0
251.0	6771.0
252.0	6684.0
253.0	6600.0
254.0	6526.0
255.0	6585.0
256.0	6569.0
257.0	6638.0
258.0	6535.0
259.0	6539.0
260.0	6406.0
261.0	6317.0
262.0	6288.0
263.0	6244.0
264.0	6091.0
265.0	6321.0
266.0	6188.0
267.0	6132.0
268.0	6010.0
269.0	6031.0
270.0	6063.0
271.0	5806.0
272.0	5914.0
273.0	5913.0
274.0	5872.0
275.0	5819.0
276.0	5754.0
277.0	5844.0
278.0	5799.0
279.0	5835.0
280.0	5780.0
281.0	5750.0
282.0	5670.0
283.0	5648.0
284.0	5587.0
285.0	5458.0
286.0	5518.0
287.0	5443.0
288.0	5583.0
289.0	5359.0
290.0	5337.0
291.0	5314.0
292.0	5390.0
293.0	5326.0
294.0	5226.0
295.0	5170.0
296.0	5215.0
297.0	5334.0
298.0	5007.0
299.0	5145.0
300.0	5048.0
301.0	5100.0
302.0	4862.0
303.0	4995.0
304.0	4858.0
305.0	4878.0
306.0	4818.0
307.0	4854.0
308.0	4858.0
309.0	4791.0
310.0	4752.0
311.0	4698.0
312.0	4828.0
313.0	4645.0
314.0	4669.0
315.0	4533.0
316.0	4630.0
317.0	4510.0
318.0	4530.0
319.0	4578.0
320.0	4562.0
321.0	4393.0
322.0	4438.0
323.0	4524.0
324.0	4500.0
325.0	4409.0
326.0	4283.0
327.0	4407.0
328.0	4396.0
329.0	4370.0
330.0	4182.0
331.0	4232.0
332.0	4163.0
333.0	4282.0
334.0	4163.0
335.0	3997.0
336.0	4099.0
337.0	4082.0
338.0	4163.0
339.0	4011.0
340.0	4054.0
341.0	4013.0
342.0	4010.0
343.0	3936.0
344.0	3924.0
345.0	3867.0
346.0	3837.0
347.0	3801.0
348.0	3793.0
349.0	3819.0
350.0	3842.0
351.0	3774.0
352.0	3882.0
353.0	3765.0
354.0	3761.0
355.0	3698.0
356.0	3695.0
357.0	3680.0
358.0	3669.0
359.0	3647.0
360.0	3710.0
361.0	3694.0
362.0	3672.0
363.0	3590.0
364.0	3560.0
365.0	3488.0
366.0	3460.0
367.0	3444.0
368.0	3493.0
369.0	3417.0
370.0	3451.0
371.0	3377.0
372.0	3340.0
373.0	3321.0
374.0	3341.0
375.0	3263.0
376.0	3231.0
377.0	3237.0
378.0	3369.0
379.0	3264.0
380.0	3245.0
381.0	3189.0
382.0	3229.0
383.0	3250.0
384.0	3162.0
385.0	3143.0
386.0	3158.0
387.0	2995.0
388.0	3152.0
389.0	3071.0
390.0	3043.0
391.0	3010.0
392.0	2996.0
393.0	2955.0
394.0	2997.0
395.0	3130.0
396.0	3008.0
397.0	2911.0
398.0	2885.0
399.0	2838.0
400.0	2874.0
401.0	3066.0
402.0	2861.0
403.0	2819.0
404.0	2855.0
405.0	2832.0
406.0	2776.0
407.0	2796.0
408.0	2790.0
409.0	2771.0
410.0	2729.0
411.0	2695.0
412.0	2705.0
413.0	2737.0
414.0	2549.0
415.0	2751.0
416.0	2661.0
417.0	2597.0
418.0	2630.0
419.0	2629.0
420.0	2563.0
421.0	2561.0
422.0	2580.0
423.0	2440.0
424.0	2538.0
425.0	2549.0
426.0	2474.0
427.0	2522.0
428.0	2573.0
429.0	2511.0
430.0	2485.0
431.0	2429.0
432.0	2445.0
433.0	2465.0
434.0	2435.0
435.0	2359.0
436.0	2382.0
437.0	2281.0
438.0	2257.0
439.0	2404.0
440.0	2371.0
441.0	2223.0
442.0	2267.0
443.0	2339.0
444.0	2255.0
445.0	2138.0
446.0	2234.0
447.0	2329.0
448.0	2217.0
449.0	2183.0
450.0	2199.0
451.0	2150.0
452.0	2202.0
453.0	2197.0
454.0	2123.0
455.0	2142.0
456.0	2034.0
457.0	2055.0
458.0	2089.0
459.0	2077.0
460.0	2131.0
461.0	2130.0
462.0	2111.0
463.0	2051.0
464.0	2009.0
465.0	2044.0
466.0	2044.0
467.0	1982.0
468.0	1906.0
469.0	1983.0
470.0	2000.0
471.0	1914.0
472.0	1951.0
473.0	1927.0
474.0	1965.0
475.0	1888.0
476.0	1827.0
477.0	1826.0
478.0	1863.0
479.0	1907.0
480.0	1872.0
481.0	1862.0
482.0	1846.0
483.0	1900.0
484.0	1805.0
485.0	1873.0
486.0	1868.0
487.0	1787.0
488.0	1814.0
489.0	1761.0
490.0	1687.0
491.0	1715.0
492.0	1716.0
493.0	1727.0
494.0	1728.0
495.0	1715.0
496.0	1708.0
497.0	1666.0
498.0	1703.0
499.0	1631.0
500.0	1616.0
501.0	1614.0
502.0	1594.0
503.0	1594.0
504.0	1564.0
505.0	1651.0
506.0	1622.0
507.0	1620.0
508.0	1571.0
509.0	1518.0
510.0	1596.0
511.0	1607.0
512.0	1546.0
513.0	1477.0
514.0	1578.0
515.0	1419.0
516.0	1472.0
517.0	1486.0
518.0	1447.0
519.0	1496.0
520.0	1500.0
521.0	1458.0
522.0	1465.0
523.0	1436.0
524.0	1429.0
525.0	1431.0
526.0	1423.0
527.0	1392.0
528.0	1369.0
529.0	1391.0
530.0	1397.0
531.0	1418.0
532.0	1406.0
533.0	1384.0
534.0	1344.0
535.0	1394.0
536.0	1350.0
537.0	1398.0
538.0	1338.0
539.0	1306.0
540.0	1390.0
541.0	1297.0
542.0	1311.0
543.0	1293.0
544.0	1261.0
545.0	1377.0
546.0	1257.0
547.0	1244.0
548.0	1270.0
549.0	1264.0
550.0	1170.0
551.0	1137.0
552.0	1210.0
553.0	1222.0
554.0	1204.0
555.0	1205.0
556.0	1189.0
557.0	1147.0
558.0	1174.0
559.0	1249.0
560.0	1179.0
561.0	1134.0
562.0	1192.0
563.0	1124.0
564.0	1171.0
565.0	1104.0
566.0	1138.0
567.0	1111.0
568.0	1159.0
569.0	1149.0
570.0	1041.0
571.0	1045.0
572.0	1112.0
573.0	1095.0
574.0	1032.0
575.0	1063.0
576.0	1037.0
577.0	1080.0
578.0	1016.0
579.0	1052.0
580.0	996.0
581.0	1002.0
582.0	1011.0
583.0	1073.0
584.0	1030.0
585.0	1004.0
586.0	981.0
587.0	959.0
588.0	1028.0
589.0	1024.0
590.0	967.0
591.0	998.0
592.0	999.0
593.0	992.0
594.0	953.0
595.0	936.0
596.0	908.0
597.0	931.0
598.0	903.0
599.0	971.0
600.0	917.0
601.0	909.0
602.0	890.0
603.0	868.0
604.0	891.0
605.0	914.0
606.0	897.0
607.0	866.0
608.0	839.0
609.0	884.0
610.0	864.0
611.0	811.0
612.0	792.0
613.0	834.0
614.0	852.0
615.0	850.0
616.0	859.0
617.0	805.0
618.0	776.0
619.0	822.0
620.0	875.0
621.0	760.0
622.0	809.0
623.0	768.0
624.0	814.0
625.0	774.0
626.0	785.0
627.0	736.0
628.0	728.0
629.0	752.0
630.0	735.0
631.0	824.0
632.0	735.0
633.0	760.0
634.0	711.0
635.0	752.0
636.0	710.0
637.0	733.0
638.0	703.0
639.0	710.0
640.0	693.0
641.0	672.0
642.0	689.0
643.0	678.0
644.0	668.0
645.0	685.0
646.0	691.0
647.0	702.0
648.0	748.0
649.0	690.0
650.0	673.0
651.0	663.0
652.0	685.0
653.0	676.0
654.0	637.0
655.0	649.0
656.0	659.0
657.0	628.0
658.0	611.0
659.0	650.0
660.0	637.0
661.0	644.0
662.0	601.0
663.0	609.0
664.0	630.0
665.0	627.0
666.0	645.0
667.0	605.0
668.0	570.0
669.0	556.0
670.0	577.0
671.0	557.0
672.0	630.0
673.0	547.0
674.0	566.0
