#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	1.2829230117900625E-6
17.0	3.848769035370188E-6
18.0	6.414615058950313E-6
19.0	2.0526768188640997E-5
20.0	2.8224306259381373E-5
21.0	4.746815143623231E-5
22.0	8.723876480172424E-5
23.0	1.64214145509128E-4
24.0	2.0655060489820006E-4
25.0	4.5287182316189204E-4
26.0	4.207987478671405E-4
27.0	6.876467343194734E-4
28.0	9.750214889604474E-4
29.0	0.0014304591581459196
30.0	0.0018320140608362094
31.0	0.0025414704863561135
32.0	0.0031854978382747246
33.0	0.0038872567257238894
34.0	0.004725005452422801
35.0	0.005449856954084185
36.0	0.0062221766071818025
37.0	0.007375524394781069
38.0	0.008410843265295651
39.0	0.009884921805842432
40.0	0.012180071073934852
41.0	0.014225050354728212
42.0	0.016390624398629837
43.0	0.018950055807151013
44.0	0.02273082992289633
45.0	0.02718898738886679
46.0	0.032423313276970255
47.0	0.0379681065339269
48.0	0.044867666491333856
49.0	0.052474117028237136
50.0	0.060145996638741706
51.0	0.07359231272531336
52.0	0.06568694112666298
53.0	0.07527422479377012
54.0	0.07283025645631007
55.0	0.06830282114770293
56.0	0.060770780145483476
57.0	0.05045736205370315
58.0	0.04052753794244807
59.0	0.03124815579817055
60.0	0.022198416873003453
61.0	0.015436129677858033
62.0	0.01047506639126586
63.0	0.006440273519186113
64.0	0.0036730085827549486
65.0	0.0022322860405147088
66.0	0.0014176299280280191
67.0	8.544267258521816E-4
68.0	4.220816708789306E-4
69.0	2.3092614212221125E-4
70.0	1.475361463558572E-4
71.0	6.671199661308326E-5
72.0	5.644861251876275E-5
73.0	1.9243845176850935E-5
74.0	1.9243845176850935E-5
75.0	7.697538070740376E-6
76.0	1.2829230117900625E-6
77.0	5.13169204716025E-6
78.0	1.2829230117900625E-6
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.2829230117900625E-6
85.0	0.0
86.0	1.2829230117900625E-6
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	1.2829230117900625E-6
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.980461082530438E-6
