NM_001001398.2 fgf6a
NM_001001399.2 ssr2
NM_001001400.1 actr8
NM_001001401.1 immt
NM_001001402.2 enc3
NM_001001403.2 atp13a1
NM_001001404.1 vdac1
NM_001001405.1 irx5b
NM_001001406.1 crtap
NM_001001409.2 actc1a
NM_001001501.2 dzip1
NM_001001589.1 uqcrc2b
NM_001001590.1 rpl3
NM_001001591.1 slc39a6
NM_001001593.2 rpl23a
NM_001001594.2 capgb
NM_001001596.1 lck
NM_001001724.2 tomm22
NM_001001725.1 ift88
NM_001001727.2 rgmb
NM_001001729.2 rap2b
NM_001001730.2 cyp51
NM_001001811.2 sox3
NM_001001812.1 fshr
NM_001001813.1 scnm1
NM_001001814.1 tafazzin
NM_001001815.1 igf2b
NM_001001816.4 sgcd
NM_001001817.2 lgals9l3
NM_001001818.2 gnai2a
NM_001001819.2 rps15
NM_001001820.1 zic2b
NM_001001822.3 ptenb
NM_001001823.2 tdrd3
NM_001001825.2 bgnb
NM_001001826.2 ccn1
NM_001001828.4 rnf114
NM_001001829.1 th2
NM_001001830.2 rfng
NM_001001831.2 pdyn
NM_001001832.1 ift57
NM_001001833.2 ift20
NM_001001834.2 ift52
NM_001001836.1 vipas39
NM_001001837.1 zic6
NM_001001838.1 top1mt
NM_001001839.2 rela
NM_001001840.3 nfkb2
NM_001001841.3 rel
NM_001001842.1 crabp1b
NM_001001843.2 tph1b
NM_001001844.1 ctcf
NM_001001845.2 adgrv1
NM_001001846.2 puraa
NM_001001847.2 bves
NM_001001848.1 popdc3
NM_001001849.2 trpv6
NM_001001886.1 usp25
NM_001001889.1 ctnnb2
NM_001001940.1 copb2
NM_001001941.2 copa
NM_001001942.1 sparc
NM_001001943.1 smurf1
NM_001001944.2 xrn2
NM_001001946.4 adh8a
NM_001001947.1 gsdmeb
NM_001001949.3 grna
NM_001001950.2 zic3
NM_001001951.1 ubxn7
NM_001002013.1 copb1
NM_001002037.2 hdgfl2
NM_001002038.2 anxa6
NM_001002040.1 cdkn1ca
NM_001002041.1 kri1
NM_001002042.2 mybbp1a
NM_001002043.1 isl1b
NM_001002044.3 mafk
NM_001002045.4 mafga
NM_001002046.1 bet1
NM_001002047.1 sra1
NM_001002048.1 akr1b1.1
NM_001002049.1 cryba2a
NM_001002050.2 cwc15
NM_001002051.1 stx12
NM_001002052.2 mrpl23
NM_001002053.2 srsf3a
NM_001002055.1 cops2
NM_001002056.1 hprt1l
NM_001002057.2 gnptg
NM_001002058.1 sae1
NM_001002059.1 lum
NM_001002060.1 eif2b1
NM_001002061.1 rac2
NM_001002062.1 gyg1b
NM_001002063.1 stxbp6
NM_001002064.1 psmc3
NM_001002065.1 ppid
NM_001002066.1 actc2
NM_001002067.1 sf3b6
NM_001002068.1 cycsb
NM_001002069.4 rpl37
NM_001002070.2 pa2g4a
NM_001002071.1 sirt6
NM_001002072.2 ube2l3a
NM_001002073.2 vamp3
NM_001002074.2 acte1
NM_001002075.1 ccne2
NM_001002076.2 fabp6
NM_001002077.2 lsm6
NM_001002078.3 rpl39
NM_001002079.1 rps13
NM_001002080.1 slc12a2
NM_001002081.1 snrpd3
NM_001002082.1 ssr4
NM_001002083.1 antkmt
NM_001002084.1 med6
NM_001002085.1 tnnc1b
NM_001002086.1 nudt5
NM_001002087.1 rnf14
NM_001002088.1 mymk
NM_001002089.1 tsg101a
NM_001002090.1 cbx1b
NM_001002091.1 psmc1b
NM_001002092.3 cyp2aa4
NM_001002093.1 tubd1
NM_001002094.2 msrb3
NM_001002095.1 mapk11
NM_001002096.1 yipf6
NM_001002097.1 brk1
NM_001002098.1 tmem19
NM_001002099.1 slc25a11
NM_001002100.1 zgc:86896
NM_001002101.1 tnni4b.2
NM_001002102.1 pnp4a
NM_001002103.1 atg4c
NM_001002104.1 lysmd3
NM_001002105.1 cdk5rap3
NM_001002106.1 rpl5b
NM_001002107.2 nudt15
NM_001002108.2 ino80c
NM_001002110.1 zgc:86839
NM_001002112.2 psmd4a
NM_001002113.1 tmx2b
NM_001002114.1 arpc3
NM_001002115.1 eaf1
NM_001002116.1 luc7l
NM_001002117.1 rbks
NM_001002118.2 zgc:86811
NM_001002119.1 tpm2
NM_001002120.1 efcab7
NM_001002121.2 puf60b
NM_001002122.2 ttc4
NM_001002123.1 ralbb
NM_001002124.2 psmc3ip
NM_001002125.1 cep43
NM_001002126.2 guk1a
NM_001002127.2 gtf2f2a
NM_001002128.1 fntb
NM_001002129.2 rab1bb
NM_001002130.1 mpdu1b
NM_001002131.2 psmd8
NM_001002132.1 plppr1
NM_001002133.1 trim63a
NM_001002134.2 tmed4
NM_001002135.2 dram2b
NM_001002137.2 ptges3b
NM_001002138.2 crygm2d6
NM_001002139.1 rpl11
NM_001002140.1 mtg1
NM_001002141.1 zgc:86738
NM_001002142.2 crygm2d18
NM_001002143.2 dhrs11b.1
NM_001002144.1 med22
NM_001002145.1 cab39
NM_001002146.1 ppil3
